abbre_species,full_species
F.vesca,s__Fragaria vesca
Xoc BLS256,s__Xanthomonas oryzae
M.musculus,s__Mus musculus
T.thermophile,s__Tetrahymena thermophila
R.chinensis,s__Rosa chinensis
A.thaliana,s__Arabidopsis thaliana
S.cerevisiae,s__Saccharomyces cerevisiae
D.melanogaster,s__Drosophila melanogaster
H.sapiens,s__Homo sapiens
C.equisetifolia,s__Casuarina equisetifolia
Tolypocladium,s__Tolypocladium inflatum
C.elegans,s__Caenorhabditis elegans
